pin,household_id,zipcode,blockgroup,lat,lon,zone,liveyearround,liveparttime,everhit,howmanyhits,worry,timesevac,expectedmoreorless,evacuated,whenleft,advisedtogo,samechoice,evacpwithnote,evacpwithoutnote,yearborn,sex,hispanic,race,edu,income,ideology,party,elevation,milestocoast
14187264,87264,06405,3,41.258034,-72.848763,A,1,1,1,2,5,1,5,1,2,1,3,5,3,1951,2,2,3,8,5,2,2,4.178221225738525,0.05751058548011919
14187466,87466,06405,2,41.257993,-72.807253,A,1,1,1,0,5,2,2,1,1,1,1,5,4,1960,1,2,3,9,6,3,3,6.925739765167236,0.0882672953220368
14187509,87509,06320,1,41.3271239999999,-72.091548,A,1,1,1,4,6,0,2,2,NA,1,1,1,1,1977,1,2,3,9,5,5,1,5.823029518127441,0.04007528373761233
14187627,87627,06443,2,41.281471,-72.5796449999999,A,1,NA,1,2,6,0,4,2,4,2,2,4,3,1955,2,2,3,10,5,3,5,20.88869476318359,0.4862997329375277
14187784,87784,06371,3,41.314408,-72.3266579999999,A,2,1,1,3,6,3,3,1,1,3,1,5,5,1952,2,2,3,8,4,3,1,6.565001010894775,0.05401472954521893
14187819,87819,06340,1,41.331361,-72.001683,A,1,1,2,2,5,0,3,NA,NA,2,1,5,2,1968,2,2,3,7,6,3,5,32.289185643615724,0.09388576870294336
14187857,87857,06460,1,41.197495,-73.0801069999999,A,1,1,1,2,6,2,5,1,2,1,1,5,4,1946,2,2,3,6,3,3,3,2.197783708572388,0.18912469899539217
14187911,87911,06379,1,41.35824,-71.8438589999999,A,1,1,1,2,3,0,2,2,NA,2,2,5,3,1955,1,2,3,7,5,1,2,9.24103832244873,0.20790319890162454
14188068,88068,06605,2,41.1639509999999,-73.222356,A,1,1,1,3,6,1,4,2,NA,2,1,5,5,1987,2,1,3,5,2,3,2,11.0653657913208,0.1710469917781144
14188127,88127,06615,3,41.174483,-73.13994,A,1,1,1,10,4,0,4,2,NA,2,2,5,5,1957,1,1,4,4,1,4,2,3.664366006851196,0.454936526327724
14188133,88133,06379,2,41.3608139999999,-71.875287,A,1,1,1,3,6,3,5,1,1,1,1,2,4,1944,1,2,3,8,4,4,2,6.332120895385742,0.12023668382823
14188290,88290,06824,1,41.13399,-73.26922,A,1,1,1,2,4,0,5,2,NA,1,1,3,2,1954,2,2,3,7,6,2,2,8.66832160949707,0.21669888910891213
14188594,88594,06830,1,41.007559,-73.6447509999999,A,1,1,1,2,5,1,2,2,3,2,2,4,2,1922,1,2,3,5,2,3,3,9.630648612976074,0.052143479475563255
14188638,88638,06413,2,41.273009,-72.525896,A,1,1,1,2,2,0,3,2,NA,1,1,2,1,1944,1,2,3,7,5,2,2,4.292423725128174,0.062329617320683504
14188649,88649,06516,4,41.257162,-72.951362,A,1,2,2,2,5,0,1,2,NA,2,1,4,NA,1957,1,2,3,1,1,4,1,2.404446601867676,0.09632485195176557
14188721,88721,06340,2,41.321868,-72.007249,A,1,1,1,5,3,1,5,1,2,1,2,5,4,1923,1,2,3,7,5,4,3,3.271342039108276,0.08046145037069737
14188822,88822,06405,1,41.2611479999999,-72.792022,A,1,1,1,10,1,0,2,2,NA,2,1,4,1,1957,2,2,3,5,2,4,1,2.864795207977295,0.06783005126390808
14189020,89020,06516,4,41.2589309999999,-72.9511899999999,A,1,1,1,3,3,0,3,2,NA,2,1,1,2,1938,1,2,3,7,5,3,2,3.864456176757812,0.21131082480389676
14189126,89126,06460,4,41.208806,-73.016017,A,1,1,1,1,5,1,5,2,NA,1,1,2,2,1961,1,2,3,8,5,1,2,4.151543140411377,0.2298972539292061
14189177,89177,06880,1,41.128045,-73.3707129999999,A,1,1,1,1,1,0,1,2,NA,2,1,3,1,1945,1,2,3,7,6,2,3,7.231306552886963,0.07013372915675727
14189234,89234,06854,1,41.102077,-73.4174479999999,A,1,1,2,2,5,0,3,NA,NA,2,1,3,3,1930,1,2,3,7,5,4,3,18.15114648836136,0.060792470446507006
14189347,89347,06605,1,41.162312,-73.223669,A,1,NA,1,1,3,0,3,2,NA,3,1,5,5,1947,2,2,3,4,2,3,1,10.53844165802002,0.19331632550467798
14189871,89871,06516,5,41.2365709999999,-72.9870399999999,A,1,1,1,1,6,0,4,2,NA,1,5,5,1,1954,2,2,3,7,2,3,3,2.60559868812561,0.061145713722062824
14189881,89881,06460,2,41.216901,-73.024563,A,1,1,1,3,5,0,5,2,NA,2,1,5,5,1954,1,2,3,4,4,5,1,6.845191478729248,0.14617725632561043
14190139,90139,06385,3,41.3348119999999,-72.171796,A,1,1,1,2,5,1,2,2,NA,1,2,4,3,1949,2,2,3,7,2,3,2,5.596983432769775,0.10442707296186865
14190173,90173,06475,1,41.2857759999999,-72.4037309999999,A,1,1,1,6,7,0,3,2,NA,2,2,3,3,1940,2,2,3,8,5,3,5,4.256198883056641,0.18504554876797014
14190328,90328,06371,3,41.289068,-72.29206,A,1,1,1,2,6,0,3,2,NA,2,1,4,2,1965,2,2,3,9,4,2,3,4.829507350921631,0.07646052340176109
14190441,90441,06512,4,41.2522719999999,-72.8964469999999,A,1,1,1,2,4,0,3,2,NA,1,1,2,1,1974,1,2,3,8,5,3,3,9.031537055969238,0.1634573828518561
14190674,90674,06355,2,41.357996,-71.964605,A,1,1,1,1,3,0,3,2,NA,1,1,3,3,1940,1,2,3,7,6,5,1,2.872539043426514,0.01524975564638808
14190870,90870,06405,2,41.2587309999999,-72.848498,A,1,1,1,3,6,0,5,2,NA,2,2,5,3,1959,2,2,3,8,4,2,2,8.08363151550293,0.10438635831966185
14190874,90874,06516,2,41.263069,-72.939006,A,1,1,1,3,3,1,2,2,NA,1,3,3,3,1960,2,2,3,6,1,3,2,3.90184760093689,0.27238168195621393
14191113,91113,06385,4,41.3409989999999,-72.137415,A,1,NA,1,4,5,0,2,2,NA,2,2,1,2,1934,2,2,3,7,5,3,3,6.494468212127686,0.26325537975603436
14191115,91115,06379,1,41.3438319999999,-71.8453339999999,A,1,1,1,2,4,0,4,2,NA,3,3,2,2,1954,1,2,3,5,4,3,3,7.587257385253906,0.5638839561862014
14191158,91158,06870,4,41.0250109999999,-73.566299,A,1,1,1,3,4,1,5,1,2,2,1,5,3,1966,2,2,3,7,5,2,3,8.499632835388184,0.18420100689252394
14191322,91322,06890,1,41.1378619999999,-73.2862719999999,A,1,1,1,2,6,1,5,1,1,1,1,5,4,1953,2,2,3,7,5,2,2,5.48412036895752,0.39318785878035495
14191365,91365,06880,2,41.112313,-73.348971,A,1,1,1,2,3,0,4,2,NA,2,1,3,1,1958,1,2,3,7,6,2,2,28.49045372009277,0.13477241985988797
14191414,91414,06512,5,41.245762,-72.875426,A,1,1,1,5,5,0,5,2,NA,1,2,2,2,1943,1,2,3,4,3,3,3,3.07099461555481,0.05038113811754233
