PIN,Longitude,Latitude,elevation_m
14168694,-72.205326,41.313746,8.253676414489746
14168851,-72.444425,41.280072,1.6712253093719482
14169211,-73.547921,41.030778,2.470412015914917
14169322,-73.169656,41.179292,5.539642333984375
14169338,-72.124649,41.30992,8.538984298706055
14169660,-72.209777,41.29532,14.733592987060547
14169720,-72.135593,41.331717,21.452892303466797
14169788,-72.140834,41.330466,23.258115768432617
14170081,-72.217679,41.305419,2.4395618438720703
14170135,-72.528187,41.27492,3.6868796348571777
14170285,-73.609642,41.021171,10.93541145324707
14170368,-73.596504,41.04206,5.447977066040039
14170405,-73.196166,41.167885,3.857403516769409
14170524,-73.273,41.133171,24.340410232543945
14170657,-72.951362,41.257162,2.904982328414917
14170964,-73.25403,41.138419,2.6939315795898438
14171014,-73.223175,41.153833,5.571547985076904
14171194,-73.020699,41.211634,2.6116650104522705
14171270,-72.485331,41.28125,3.0110464096069336
14171350,-72.937235,41.270214,4.290473937988281
14171535,-73.188185,41.167338,2.281377077102661
14171758,-72.396485,41.282194,2.3004095554351807
14171840,-73.104174,41.220593,5.8950676918029785
14171851,-73.39882,41.097399,7.520075798034668
14171919,-72.825031,41.274495,6.645427227020264
14171948,-72.873174,41.315004,4.595997333526611
14172005,-73.400196,41.097709,4.617544174194336
14172153,-72.359978,41.287321,2.9531381130218506
14172209,-73.591739,41.015082,1.3265215158462524
14172405,-71.958805,41.353452,22.40199089050293
14172418,-73.372606,41.097371,1.8699700832366943
14172472,-73.441053,41.06344,2.16538405418396
14172574,-73.221996,41.165897,6.330669403076172
14172621,-73.547933,41.032931,4.3074870109558105
14172654,-72.964289,41.259514,4.947639465332031
14173072,-72.94354,41.268304,2.6909899711608887
14173096,-73.142883,41.175979,2.3544230461120605
14173210,-72.878727,41.248938,8.376666069030762
14173328,-72.378152,41.284893,3.3411741256713867
14173537,-72.935847,41.266478,2.163437604904175
14173561,-73.495196,41.056995,3.428795099258423
14173658,-73.040941,41.211822,5.1607136726379395
14173688,-72.874422,41.385773,3.755927801132202
14173934,-73.136146,41.184667,2.098219394683838
14173977,-73.240484,41.144332,2.038635015487671
14174031,-72.598068,41.269944,2.776857852935791
14174045,-71.880903,41.357833,3.537905216217041
14174058,-72.07078,41.320761,1.5370674133300781
14174108,-72.485889,41.274632,6.306778907775879
14174216,-72.176926,41.357367,9.191230773925781
14174456,-73.015394,41.205092,2.270400047302246
14174489,-71.852318,41.356296,19.381696701049805
14174803,-72.384594,41.282456,2.988053321838379
14174965,-72.99056,41.227293,3.114293098449707
14175001,-72.873222,41.246214,1.7979146242141724
14175549,-72.519945,41.274022,5.919013500213623
14175757,-72.495662,41.289511,4.837043285369873
